src-ip,risk-factor,categories
2390872136.0,1.0,0
584179858.0,1.0,1
2087885482.0,1.0,1
3584858198.0,1.0,0
1596927275.0,1.0,0
3537787762.0,1.0,1
2499489289.0,1.0,1
3232235784.0,1.0,1
624000638.0,5.7,2
1937727665.0,1.51325678497,1
770826095.0,1.0,0
1741136134.0,8.6,2
701774523.0,1.51325678497,1
3232235778.0,1.0,1
3580044050.0,1.0,1
995991159.0,1.0,0
1856733178.0,1.0,0
2031107992.0,1.0,1
1497369295.0,5.7,2
1342433871.0,1.0,0
693811825.0,1.0,0
630064787.0,5.7,2
1730546718.0,4.3,2
1914893240.0,1.0,1
1975959884.0,5.7,2
1886908382.0,1.0,1
96319801.0,1.0,1
1968255870.0,5.7,2
1758417666.0,1.0,1
1942031256.0,1.0,1
1395432144.0,1.0,1
2944934710.0,1.0,0
995824110.0,5.7,2
1387452060.0,1.0,0
1742865720.0,1.0,0
2104477220.0,1.0,0
2120149835.0,1.0,1
843145409.0,1.0,1
993537643.0,2.9,2
,1.0,1
704282692.0,1.0,0
3032439831.0,1.0,1
2818150408.0,1.0,1
3105216683.0,1.0,1
1592979010.0,5.7,2
1721620484.0,1.0,1
1890373511.0,1.0,1
3013556273.0,1.0,1
1022799886.0,1.0,1
3588646414.0,2.9,2
4.25404882106e+37,1.0,1
3034189913.0,1.0,0
453327631.0,1.0,0
1602963524.0,1.0,0
917287093.0,1.0,1
694718222.0,1.0,0
824268731.0,1.0,1
1984159694.0,1.4,2
3155933278.0,1.0,0
3526764364.0,1.0,1
698654156.0,1.0,1
1811050620.0,1.0,1
1018472924.0,1.0,0
3679299017.0,1.0,1
3728936629.0,1.0,0
1376458275.0,1.0,1
1834893971.0,1.0,1
1570496397.0,1.0,0
2034918316.0,1.0,1
3327433243.0,1.0,0
520729637.0,1.0,0
1928236283.0,1.51325678497,1
3076017798.0,5.7,2
1382440137.0,1.0,1
3191536658.0,1.0,1
1300763442.0,1.0,1
1776589958.0,1.0,0
3582987324.0,1.0,1
4.78782102448e+37,1.0,1
1176201816.0,1.0,0
1374422781.0,1.0,1
4.25404881822e+37,1.0,1
459334517.0,1.0,0
2011961801.0,1.0,1
1331956510.0,1.0,0
1734053767.0,1.4,2
1731597048.0,5.7,2
3236218030.0,1.0,0
1281025845.0,1.0,0
2424916211.0,1.0,0
1085552193.0,1.0,0
85760572.0,1.0,0
2891709550.0,1.0,0
2014685584.0,1.0,1
1009914549.0,1.0,0
1038319159.0,5.7,2
462676616.0,5.7,2
1839722996.0,1.0,0
3399035171.0,4.3,2
737925544.0,1.4,2
3238657101.0,1.0,1
454150085.0,1.0,1
605604908.0,1.0,1
1398058949.0,1.0,1
826446487.0,1.0,1
1892840119.0,1.0,0
3113857831.0,1.0,1
3735302818.0,1.0,0
1782919255.0,1.0,0
1035487314.0,1.0,1
3291883793.0,1.0,1
3700382740.0,1.0,0
1550834206.0,1.0,1
2931952969.0,1.0,1
2104438102.0,1.0,0
993709100.0,1.0,1
1892058482.0,1.0,0
3321175848.0,5.7,2
710686884.0,1.0,1
1892328100.0,1.0,0
2851023882.0,8.6,2
694423364.0,1.0,0
1275818820.0,1.0,0
2523643352.0,1.0,0
2969319468.0,1.0,1
3284847310.0,1.0,0
3320649946.0,5.7,2
2101577122.0,1.0,0
1892215279.0,1.0,0
1298815426.0,1.0,1
16896693.0,5.7,2
1306965714.0,1.0,1
1507039076.0,5.7,2
792105498.0,1.0,0
3074802294.0,1.0,1
1915717662.0,1.0,0
826928655.0,1.0,1
1744253028.0,1.4,2
3169678624.0,1.0,1
2416707601.0,1.0,1
39946944.0,1.0,0
415613262.0,1.0,0
1768493325.0,5.7,2
1791956973.0,1.0,0
3153532552.0,1.0,1
1833777891.0,1.0,0
1899263729.0,1.0,1
3232235782.0,1.0,1
3168885927.0,1.0,0
1590811659.0,1.0,0
1038416787.0,1.0,0
3071963899.0,1.0,1
3654172394.0,1.0,1
1318661302.0,1.0,1
1007680390.0,1.0,1
698379506.0,1.0,1
2393367506.0,1.0,1
3030013074.0,1.0,1
1790302837.0,1.0,1
1018466605.0,1.0,0
609787203.0,1.0,0
36832617.0,5.7,2
1014621356.0,1.0,0
2005840735.0,1.0,1
1534683929.0,1.0,2
2050936715.0,1.0,1
989842378.0,5.7,2
3155849211.0,1.0,0
1908508677.0,5.7,2
1785217106.0,1.0,1
2871834241.0,1.0,1
919157568.0,1.0,1
1832986597.0,1.0,0
1740933618.0,10.0,2
1566810971.0,1.0,0
3419822645.0,1.0,0
3655951501.0,1.0,1
1179484600.0,1.0,1
3513812778.0,1.0,1
1349681394.0,1.0,1
415337115.0,1.0,0
1451762563.0,1.0,1
2107997168.0,1.0,0
2875498245.0,1.0,1
1601809950.0,1.51325678497,1
2057390539.0,5.7,2
2900063952.0,1.0,0
1867662199.0,1.0,0
1947754089.0,1.0,1
2059424350.0,1.0,1
634533391.0,1.51325678497,1
1915302112.0,1.0,0
695392605.0,1.0,1
1017625270.0,1.0,0
3747246567.0,1.0,1
3338646391.0,1.0,0
1947963401.0,1.0,1
1763420994.0,1.0,1
1490089367.0,1.0,1
657387875.0,5.7,2
999560484.0,1.0,1
1885503876.0,1.0,0
1886375071.0,1.0,0
3678760460.0,1.0,1
737366582.0,5.7,2
1811050615.0,1.0,1
1918662368.0,1.0,1
1146267236.0,1.0,1
619154076.0,1.0,0
1943759573.0,1.0,1
2954885323.0,1.0,1
1430099482.0,1.0,0
3657110027.0,1.0,1
1776417957.0,1.0,0
984628595.0,1.0,1
39242207.0,1.0,0
1982142914.0,1.0,1
1964936503.0,1.0,0
1991635777.0,1.0,1
984849683.0,1.0,1
2927722355.0,1.51325678497,1
1303451160.0,1.0,0
1988897402.0,1.0,1
3080404203.0,1.0,0
3633820833.0,1.0,1
86354298.0,1.0,0
2130706433.0,1.0,1
1878072230.0,1.0,0
1850911237.0,1.0,0
3199545375.0,1.0,1
1781329866.0,1.0,1
3582480366.0,1.0,1
2002161283.0,1.0,0
3582480333.0,1.0,1
1968463362.0,1.0,0
2936570031.0,1.0,0
2904777174.0,1.0,1
27361387.0,1.0,0
2023040418.0,1.0,0
1275586224.0,1.0,1
1732423774.0,2.9,2
987297610.0,1.0,1
1424301364.0,1.0,0
779376589.0,1.0,1
1914296772.0,1.0,0
454833787.0,1.0,1
1944382882.0,1.0,1
619404502.0,1.0,0
402129988.0,1.0,0
3573321321.0,1.0,0
1781766682.0,1.51325678497,1
84722174.0,1.0,1
3300964110.0,1.0,1
831806231.0,1.0,0
3036113522.0,1.0,0
1976023714.0,5.7,2
1744677197.0,4.3,2
1847043682.0,1.0,0
2090134995.0,1.0,1
2784975266.0,5.7,2
1449373523.0,1.0,0
3162475800.0,1.0,0
3221184073.0,1.0,0
763150735.0,5.7,2
243837655.0,1.0,1
2918176543.0,1.0,1
1743233605.0,10.0,2
835663988.0,5.7,2
1143553082.0,1.0,1
2040358244.0,1.0,1
1964644052.0,1.0,0
1985865204.0,1.0,0
700269203.0,1.0,1
3230439827.0,1.0,1
460940341.0,1.0,0
619142751.0,1.0,0
2667547345.0,1.0,0
3116932388.0,1.0,0
2102293930.0,1.0,0
1010006140.0,1.0,1
1046910133.0,1.0,1
1568371185.0,1.0,1
1742304680.0,5.7,2
1311420141.0,1.0,0
1408957856.0,1.0,0
3216840674.0,1.0,1
1407463849.0,1.0,0
2018938293.0,1.0,0
1966921753.0,1.0,1
1614454702.0,1.0,1
1944120306.0,1.0,1
3.38288524927e+38,1.0,1
2987700926.0,1.0,1
248085704.0,1.0,1
534202546.0,1.0,0
999913544.0,1.0,1
2062065234.0,1.0,1
1935090705.0,1.0,0
1022461402.0,1.0,1
1961005154.0,1.0,1
3063266428.0,1.51325678497,1
4.25404881914e+37,1.0,1
2070879038.0,1.0,1
1942653553.0,1.0,1
1878814578.0,1.0,0
1943360850.0,1.0,1
2938954163.0,1.0,1
1743297063.0,1.0,0
3698798393.0,1.0,1
3668236548.0,1.0,0
1028571248.0,1.0,1
2085749817.0,1.0,1
3247337617.0,1.0,1
1811050625.0,1.0,1
1268650792.0,1.0,0
1968606678.0,1.0,0
1841923473.0,1.0,1
3624589357.0,1.0,1
3699833064.0,1.0,1
3416521162.0,5.7,2
1915095329.0,1.0,0
2076954074.0,1.0,1
3754751707.0,1.0,0
2083733287.0,1.0,1
720584475.0,1.0,1
619670616.0,5.7,2
1770809521.0,1.0,0
3255507981.0,1.0,1
3002746183.0,1.0,1
242729738.0,1.0,1
3158704317.0,1.4,2
1594427335.0,1.0,1
387745170.0,1.0,0
1879984781.0,1.0,0
690838787.0,1.0,0
28216405.0,1.0,0
2637187202.0,1.0,1
3757448910.0,1.0,0
831562158.0,1.0,0
456914676.0,1.0,0
2076940092.0,1.0,1
1844039693.0,1.0,1
997412595.0,1.0,0
2745984860.0,1.0,1
3721368123.0,1.0,0
1781766682.0,5.7,2
1311420141.0,1.0,2
1407463849.0,1.0,2
1966921753.0,1.51325678497,1
1935090705.0,1.0,2
3063266428.0,1.0,1
4.25404881914e+37,1.51325678497,1
1878814578.0,1.0,2
1915095329.0,1.0,2
28216405.0,1.0,2
831562158.0,1.0,2
456914676.0,1.0,2
3301918600.0,5.7,2
1314090998.0,1.0,2
826965153.0,1.0,1
3072242060.0,1.0,1
3069370846.0,1.0,1
1840130675.0,1.0,2
692248275.0,1.0,0
1892304408.0,1.0,0
2104437783.0,1.0,0
3027440921.0,1.0,0
3703299167.0,1.0,0
597613390.0,1.0,1
3116166160.0,1.0,2
1990529021.0,1.0,2
832536757.0,1.0,0
2059526536.0,1.0,1
3541997498.0,1.0,0
1014616548.0,1.0,2
2072417626.0,1.0,1
1.0,1.0,1
1094164087.0,1.0,1
2080826670.0,1.0,0
1442173359.0,1.0,2
1791734885.0,1.4,2
1590432896.0,1.0,0
1001830352.0,1.0,2
824328846.0,1.0,1
2072557784.0,1.0,1
1372800706.0,1.0,1
1603812985.0,5.7,2
607971182.0,1.0,2
3169354169.0,1.0,0
3747785095.0,1.0,1
1113265790.0,1.0,0
3663184590.0,1.0,1
3232235667.0,1.0,1
3245238979.0,1.0,1
1009976376.0,1.51325678497,1
1742833386.0,1.4,2
3394169446.0,5.7,2
94877132.0,1.51325678497,1
2956925587.0,5.7,2
1388882006.0,1.0,0
1733529985.0,5.7,2
2083339290.0,1.0,2
1495050007.0,1.0,0
1906593800.0,1.4,2
1564303899.0,1.0,1
996462782.0,1.0,1
1595413541.0,1.0,2
3526548430.0,1.0,0
1339152405.0,1.0,1
3161529857.0,1.0,2
533911263.0,10.0,2
3717049490.0,1.0,1
3039591055.0,1.0,2
1474363945.0,1.0,1
1042081510.0,1.0,0
96320346.0,1.0,1
86812679.0,5.7,2
1990685678.0,1.0,2
94687240.0,1.0,2
237047815.0,1.0,1
3662352090.0,1.0,1
1873894714.0,1.0,1
987675730.0,1.0,1
2151950684.0,1.51325678497,1
995953739.0,5.7,2
1044700759.0,1.0,0
1849093489.0,4.3,2
2637252451.0,1.0,1
2302366833.0,7.1,2
1860297512.0,1.4,2
624515314.0,5.7,2
2883770079.0,5.7,2
1600730863.0,1.0,0
991138202.0,1.0,1
1591237154.0,1.0,1
1782956621.0,1.0,0
1701283037.0,1.0,2
1565906660.0,1.0,2
1428577922.0,1.0,1
3641799373.0,1.0,0
1560065150.0,1.0,0
2911328711.0,1.51325678497,1
1989429761.0,1.0,0
1855181830.0,1.0,0
3248872738.0,1.0,1
707916642.0,1.0,1
1451523103.0,1.0,1
979632422.0,1.4,2
3562828516.0,10.0,2
3585141064.0,1.0,1
1403048437.0,1.0,1
1540215205.0,5.7,2
1743604758.0,10.0,2
2637184750.0,1.0,1
1134836876.0,1.0,1
2005977735.0,1.0,1
1928976773.0,1.0,1
1604584196.0,1.51325678497,1
1348875656.0,1.0,0
2050262672.0,1.0,0
622127062.0,1.0,2
3577908090.0,1.0,0
1029439931.0,1.0,1
1402285595.0,5.7,2
1268276328.0,1.0,1
1783115872.0,1.0,1
1506344636.0,1.0,1
3156943621.0,1.4,2
1534665985.0,1.0,1
1448207291.0,1.0,1
606083643.0,1.0,0
1238745104.0,1.51325678497,1
1527457243.0,1.0,0
2098726276.0,5.7,2
3186937864.0,1.0,0
96320535.0,1.0,1
1603009450.0,1.0,2
1544454528.0,1.0,0
1927740165.0,1.0,0
628782880.0,1.0,2
773009785.0,1.0,1
2987347290.0,1.0,1
3027183361.0,1.0,1
1416475323.0,1.0,2
2967639960.0,1.0,0
711953866.0,5.7,2
3559010526.0,1.0,1
2959372858.0,5.7,2
3055551037.0,1.0,0
1993689304.0,1.0,1
1600709074.0,1.0,2
2970700828.0,1.0,1
3280243636.0,1.0,0
719814793.0,1.0,0
1490662656.0,5.7,2
1918758031.0,1.0,1
1879665452.0,1.0,1
1531838236.0,1.0,0
1971860173.0,1.0,1
1360292404.0,1.0,1
1239375118.0,1.0,1
3580814589.0,1.0,1
3032451275.0,1.0,1
3681851102.0,1.0,0
988388015.0,1.0,1
1343084597.0,1.0,1
778009962.0,1.0,0
